CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Number of items bought ,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
27,Female,45,28,32,28,649-29-6775,B,Mandalay,Normal,Fashion accessories,33.52,1,1.676,35.196,2/8/2019,15:31,Cash,33.52,4.761904762,1.676,6.7
28,Male,35,28,61,28,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,8.767,184.107,3/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7
29,Female,40,29,31,29,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,441.8,4.761904762,22.09,9.6
30,Female,23,29,87,29,848-62-7243,A,Yangon,Normal,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4
31,Male,60,30,4,30,871-79-8483,B,Mandalay,Normal,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8
32,Female,21,30,73,30,149-71-6266,B,Mandalay,Member,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5
33,Male,53,33,4,33,640-49-2076,B,Mandalay,Normal,Sports and travel,83.78,8,33.512,703.752,1/10/2019,14:49,Cash,670.24,4.761904762,33.512,5.1
34,Male,18,33,92,33,595-11-5460,A,Yangon,Normal,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1
35,Female,49,33,14,33,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,19.884,417.564,2/6/2019,10:42,Ewallet,397.68,4.761904762,19.884,7.5
36,Female,21,33,81,33,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,3.406,71.526,1/7/2019,12:28,Ewallet,68.12,4.761904762,3.406,6.8
37,Female,42,34,17,34,129-29-8530,A,Yangon,Member,Sports and travel,62.62,5,15.655,328.755,3/10/2019,19:15,Ewallet,313.1,4.761904762,15.655,7
38,Female,30,34,73,34,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7
39,Female,36,37,26,37,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,439.36,4.761904762,21.968,7.6
40,Female,20,37,75,37,777-82-7220,B,Mandalay,Member,Home and lifestyle,30.12,8,12.048,253.008,3/3/2019,13:01,Cash,240.96,4.761904762,12.048,7.7
41,Female,65,38,35,38,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,86.72,4.761904762,4.336,7.9
42,Male,24,38,92,38,554-53-8700,C,Naypyitaw,Member,Home and lifestyle,56.11,2,5.611,117.831,2/2/2019,10:11,Cash,112.22,4.761904762,5.611,6.3
43,Male,48,39,36,39,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,20.736,435.456,2/8/2019,13:03,Cash,414.72,4.761904762,20.736,5.6
44,Female,31,39,61,39,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,789.6,4.761904762,39.48,7.6
45,Female,49,39,28,39,617-15-4209,C,Naypyitaw,Member,Health and beauty,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,30.74,4.761904762,1.537,7.2
46,Female,24,39,65,39,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,18:00,Cash,375.84,4.761904762,18.792,9.5
47,Female,50,40,55,40,370-41-7321,B,Mandalay,Member,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,17:24,Credit card,510.21,4.761904762,25.5105,8.4
48,Female,27,40,47,40,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.0045,189.0945,2/6/2019,15:47,Ewallet,180.09,4.761904762,9.0045,4.1
49,Female,29,40,42,40,669-54-1719,B,Mandalay,Member,Electronic accessories,18.93,6,5.679,119.259,2/10/2019,12:45,Credit card,113.58,4.761904762,5.679,8.1
50,Female,31,40,42,40,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,826.3,4.761904762,41.315,7.9
51,Female,49,42,52,42,326-78-5178,C,Naypyitaw,Member,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,639.8,4.761904762,31.99,9.5
52,Male,33,42,60,42,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475,234.0975,2/10/2019,15:10,Cash,222.95,4.761904762,11.1475,8.5
53,Female,31,43,54,43,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,71.48,4.761904762,3.574,6.5
54,Male,59,43,60,43,778-71-5554,C,Naypyitaw,Member,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,15:46,Credit card,15.43,4.761904762,0.7715,6.1
55,Female,50,43,45,43,242-55-6721,B,Mandalay,Normal,Home and lifestyle,16.16,2,1.616,33.936,3/7/2019,11:49,Ewallet,32.32,4.761904762,1.616,6.5
56,Male,47,43,41,43,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,687.84,4.761904762,34.392,8.2
57,Female,51,44,50,44,106-35-6779,A,Yangon,Member,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,88.68,4.761904762,4.434,5.8
58,Male,69,44,46,44,635-40-6220,A,Yangon,Normal,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,716.8,4.761904762,35.84,6.6
59,Female,27,46,51,46,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,723.5,4.761904762,36.175,5.4
60,Male,53,46,46,46,120-06-4233,C,Naypyitaw,Normal,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,20:36,Cash,183.66,4.761904762,9.183,9.3
61,Male,70,46,56,46,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,74.22,4.761904762,3.711,10
62,Male,19,46,55,46,803-83-5989,C,Naypyitaw,Normal,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,334.38,4.761904762,16.719,7
63,Female,67,47,52,47,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,495.63,4.761904762,24.7815,10
64,Female,54,47,59,47,199-75-8169,A,Yangon,Member,Sports and travel,15.81,10,7.905,166.005,3/6/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6
65,Male,63,48,51,48,853-23-2453,B,Mandalay,Member,Health and beauty,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,302.96,4.761904762,15.148,7.6
66,Male,18,48,59,48,877-22-3308,A,Yangon,Member,Health and beauty,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,158.7,4.761904762,7.935,5.8
67,Female,43,48,50,48,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,3.347,70.287,2/10/2019,15:43,Ewallet,66.94,4.761904762,3.347,6.7
68,Female,68,48,48,48,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,15:01,Ewallet,585.66,4.761904762,29.283,9.9
69,Male,19,48,59,48,232-11-3025,A,Yangon,Normal,Sports and travel,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,787.7,4.761904762,39.385,6.4
70,Female,32,48,47,48,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,0.9165,19.2465,2/2/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3
71,Male,70,49,55,49,393-65-2792,C,Naypyitaw,Normal,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,894.8,4.761904762,44.74,9.6
72,Female,47,49,42,49,796-12-2025,C,Naypyitaw,Normal,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,621.2,4.761904762,31.06,5.9
73,Female,60,50,49,50,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,7.278,152.838,3/5/2019,18:17,Ewallet,145.56,4.761904762,7.278,4
74,Female,60,50,56,50,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,22.773,478.233,3/9/2019,18:21,Cash,455.46,4.761904762,22.773,8.7
75,Male,59,54,47,54,287-21-9091,A,Yangon,Normal,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4
76,Male,26,54,54,54,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,17:04,Credit card,416.5,4.761904762,20.825,5.4
77,Female,45,54,53,54,263-10-3913,C,Naypyitaw,Member,Fashion accessories,49.04,9,22.068,463.428,1/9/2019,14:20,Credit card,441.36,4.761904762,22.068,8.6
78,Male,40,54,48,54,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,9.0045,189.0945,1/12/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7
79,Female,23,54,52,54,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,39.155,822.255,3/5/2019,16:24,Ewallet,783.1,4.761904762,39.155,6.6
80,Female,49,54,42,54,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,101.9,4.761904762,5.095,6
81,Male,57,54,51,54,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,29.757,624.897,1/21/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5
82,Male,38,54,55,54,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,290.04,4.761904762,14.502,6.4
83,Male,67,54,41,54,480-63-2856,C,Naypyitaw,Normal,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,154,4.761904762,7.7,6.6
84,Female,46,54,44,54,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4,16.072,337.512,2/23/2019,18:45,Credit card,321.44,4.761904762,16.072,8.3
85,Female,21,54,57,54,360-39-5055,C,Naypyitaw,Member,Sports and travel,48.91,5,12.2275,256.7775,3/9/2019,10:17,Cash,244.55,4.761904762,12.2275,6.6
86,Male,48,54,46,54,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7,29.071,610.491,3/5/2019,14:31,Ewallet,581.42,4.761904762,29.071,4
87,Female,55,57,58,57,362-58-8315,C,Naypyitaw,Normal,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,382.6,4.761904762,19.13,9.9
88,Female,22,57,55,57,633-44-8566,A,Yangon,Member,Food and beverages,49.38,7,17.283,362.943,3/27/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3
89,Female,34,58,60,58,504-35-8843,A,Yangon,Normal,Sports and travel,42.47,1,2.1235,44.5935,1/2/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7
90,Female,50,58,46,58,318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,461.94,4.761904762,23.097,6.1
91,Female,68,59,55,59,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,189.52,4.761904762,9.476,7.1
92,Male,18,59,41,59,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,448.6,4.761904762,22.43,8.2
93,Male,48,60,49,60,873-51-0671,A,Yangon,Member,Sports and travel,21.98,7,7.693,161.553,1/10/2019,16:42,Ewallet,153.86,4.761904762,7.693,5.1
94,Female,40,60,40,60,152-08-9985,B,Mandalay,Member,Health and beauty,64.36,9,28.962,608.202,3/12/2019,12:09,Credit card,579.24,4.761904762,28.962,8.6
95,Female,32,60,42,60,512-91-0811,C,Naypyitaw,Normal,Health and beauty,89.75,1,4.4875,94.2375,2/6/2019,20:05,Credit card,89.75,4.761904762,4.4875,6.6
96,Male,24,60,52,60,594-34-4444,A,Yangon,Normal,Electronic accessories,97.16,1,4.858,102.018,3/8/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2
97,Female,47,60,47,60,766-85-7061,B,Mandalay,Normal,Health and beauty,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,878.7,4.761904762,43.935,5.1
98,Female,27,60,50,60,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6,3.735,78.435,2/9/2019,13:11,Cash,74.7,4.761904762,3.735,4.1
99,Male,48,61,42,61,865-92-6136,A,Yangon,Normal,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3
100,Male,20,61,49,61,733-01-9107,B,Mandalay,Normal,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,18:14,Cash,496.2,4.761904762,24.81,7.4
101,Female,23,62,41,62,163-56-7055,C,Naypyitaw,Member,Fashion accessories,48.71,1,2.4355,51.1455,3/26/2019,19:20,Cash,48.71,4.761904762,2.4355,4.1
102,Female,49,62,48,62,189-98-2939,C,Naypyitaw,Normal,Fashion accessories,78.55,9,35.3475,742.2975,3/1/2019,13:22,Cash,706.95,4.761904762,35.3475,7.2
103,Male,67,62,59,62,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9,10.3815,218.0115,2/1/2019,11:27,Cash,207.63,4.761904762,10.3815,4.9
104,Male,26,62,55,62,212-62-1842,A,Yangon,Normal,Food and beverages,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,349.56,4.761904762,17.478,9.9
105,Male,49,62,56,62,716-39-1409,B,Mandalay,Normal,Health and beauty,30.35,7,10.6225,223.0725,3/19/2019,18:19,Cash,212.45,4.761904762,10.6225,8
106,Female,21,62,42,62,704-48-3927,A,Yangon,Member,Electronic accessories,88.67,10,44.335,931.035,1/12/2019,14:50,Ewallet,886.7,4.761904762,44.335,7.3
107,Female,66,63,50,63,628-34-3388,C,Naypyitaw,Normal,Fashion accessories,27.38,6,8.214,172.494,1/5/2019,20:54,Credit card,164.28,4.761904762,8.214,7.9
108,Male,54,63,46,63,630-74-5166,A,Yangon,Normal,Sports and travel,62.13,6,18.639,391.419,3/22/2019,20:19,Cash,372.78,4.761904762,18.639,7.4
109,Male,68,63,43,63,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9,15.291,321.111,3/24/2019,10:43,Cash,305.82,4.761904762,15.291,4.2
110,Male,66,63,48,63,861-77-0145,C,Naypyitaw,Member,Electronic accessories,81.97,10,40.985,860.685,3/3/2019,14:30,Cash,819.7,4.761904762,40.985,9.2
111,Male,65,63,52,63,479-26-8945,B,Mandalay,Member,Sports and travel,16.49,2,1.649,34.629,2/5/2019,11:32,Ewallet,32.98,4.761904762,1.649,4.6
112,Female,19,63,54,63,210-67-5886,C,Naypyitaw,Member,Health and beauty,98.21,3,14.7315,309.3615,2/5/2019,10:41,Credit card,294.63,4.761904762,14.7315,7.8
113,Female,38,64,42,64,227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7,25.494,535.374,2/15/2019,12:44,Cash,509.88,4.761904762,25.494,8.4
114,Male,19,64,46,64,645-44-1170,A,Yangon,Member,Home and lifestyle,58.07,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4.3
115,Female,18,65,48,65,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80.79,9,36.3555,763.4655,2/1/2019,20:31,Credit card,727.11,4.761904762,36.3555,9.5
116,Female,19,65,50,65,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3,4.053,85.113,3/2/2019,13:01,Credit card,81.06,4.761904762,4.053,7.1
117,Female,63,65,43,65,291-32-1427,B,Mandalay,Member,Fashion accessories,21.94,5,5.485,115.185,3/5/2019,12:29,Ewallet,109.7,4.761904762,5.485,5.3
118,Female,49,65,59,65,659-65-8956,B,Mandalay,Member,Fashion accessories,51.36,1,2.568,53.928,1/16/2019,15:26,Ewallet,51.36,4.761904762,2.568,5.2
119,Female,51,67,43,67,642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10,5.48,115.08,2/2/2019,20:48,Ewallet,109.6,4.761904762,5.48,6
120,Female,50,67,57,67,378-24-2715,B,Mandalay,Normal,Home and lifestyle,53.44,2,5.344,112.224,1/20/2019,20:38,Ewallet,106.88,4.761904762,5.344,4.1
121,Male,27,67,56,67,638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8,39.824,836.304,2/14/2019,17:03,Credit card,796.48,4.761904762,39.824,5.2
122,Female,38,67,40,67,659-36-1684,C,Naypyitaw,Member,Sports and travel,57.12,7,19.992,419.832,1/12/2019,12:02,Credit card,399.84,4.761904762,19.992,6.5
123,Female,40,69,58,69,219-22-9386,B,Mandalay,Member,Sports and travel,99.96,9,44.982,944.622,3/9/2019,17:26,Credit card,899.64,4.761904762,44.982,4.2
124,Male,39,69,91,69,336-78-2147,C,Naypyitaw,Member,Home and lifestyle,63.91,8,25.564,536.844,3/13/2019,19:52,Credit card,511.28,4.761904762,25.564,4.6
125,Female,23,70,29,70,268-27-6179,B,Mandalay,Member,Fashion accessories,56.47,8,22.588,474.348,3/9/2019,14:57,Ewallet,451.76,4.761904762,22.588,7.3
126,Female,31,70,77,70,668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7,32.7915,688.6215,3/10/2019,18:44,Credit card,655.83,4.761904762,32.7915,4.5
127,Male,43,71,35,71,870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5,8.0625,169.3125,1/27/2019,13:26,Cash,161.25,4.761904762,8.0625,9
128,Male,40,71,95,71,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9,14.2785,299.8485,1/8/2019,16:17,Credit card,285.57,4.761904762,14.2785,5.9
129,Male,59,71,11,71,663-86-9076,C,Naypyitaw,Member,Food and beverages,68.54,8,27.416,575.736,1/8/2019,15:57,Ewallet,548.32,4.761904762,27.416,8.5
130,Male,38,71,75,71,549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9,40.626,853.146,2/8/2019,11:15,Ewallet,812.52,4.761904762,40.626,7.2
131,Male,47,71,9,71,191-10-6171,B,Mandalay,Normal,Fashion accessories,39.62,7,13.867,291.207,1/25/2019,13:18,Cash,277.34,4.761904762,13.867,7.5
132,Male,39,71,75,71,802-70-5316,A,Yangon,Member,Sports and travel,92.13,6,27.639,580.419,3/6/2019,20:34,Cash,552.78,4.761904762,27.639,8.3
133,Female,25,72,34,72,695-51-0018,B,Mandalay,Normal,Sports and travel,34.84,4,6.968,146.328,2/10/2019,18:36,Cash,139.36,4.761904762,6.968,7.4
134,Female,31,72,71,72,590-83-4591,B,Mandalay,Member,Electronic accessories,87.45,6,26.235,550.935,2/17/2019,14:40,Credit card,524.7,4.761904762,26.235,8.8
135,Male,20,73,5,73,483-71-1164,C,Naypyitaw,Normal,Health and beauty,81.3,6,24.39,512.19,3/8/2019,16:43,Ewallet,487.8,4.761904762,24.39,5.3
136,Female,29,73,88,73,597-78-7908,C,Naypyitaw,Normal,Fashion accessories,90.22,3,13.533,284.193,2/18/2019,19:39,Cash,270.66,4.761904762,13.533,6.2
137,Female,44,73,7,73,700-81-1757,A,Yangon,Normal,Electronic accessories,26.31,5,6.5775,138.1275,1/18/2019,20:59,Credit card,131.55,4.761904762,6.5775,8.8
138,Male,32,73,73,73,354-39-5160,A,Yangon,Member,Home and lifestyle,34.42,6,10.326,216.846,2/18/2019,15:39,Cash,206.52,4.761904762,10.326,9.8
139,Male,19,74,10,74,241-72-9525,B,Mandalay,Normal,Sports and travel,51.91,10,25.955,545.055,2/16/2019,12:21,Cash,519.1,4.761904762,25.955,8.2
140,Female,35,74,72,74,575-30-8091,A,Yangon,Normal,Sports and travel,72.5,8,29,609,3/16/2019,19:25,Ewallet,580,4.761904762,29,9.2
141,Female,57,75,5,75,731-81-9469,C,Naypyitaw,Member,Sports and travel,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,898,4.761904762,44.9,5.4
142,Male,32,75,93,75,280-17-4359,C,Naypyitaw,Member,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48,Cash,905,4.761904762,45.25,8.1
143,Female,28,76,40,76,338-65-2210,C,Naypyitaw,Member,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,Cash,686,4.761904762,34.3,9.1
144,Female,32,76,87,76,488-25-4221,C,Naypyitaw,Member,Food and beverages,30.41,1,1.5205,31.9305,2/22/2019,10:36,Credit card,30.41,4.761904762,1.5205,8.4
145,Male,25,77,12,77,239-10-7476,A,Yangon,Normal,Home and lifestyle,77.95,6,23.385,491.085,1/21/2019,16:37,Ewallet,467.7,4.761904762,23.385,8
146,Male,28,77,97,77,458-41-1477,C,Naypyitaw,Normal,Health and beauty,46.26,6,13.878,291.438,3/8/2019,17:11,Credit card,277.56,4.761904762,13.878,9.5
147,Male,48,77,36,77,685-64-1609,A,Yangon,Member,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28,Ewallet,301.4,4.761904762,15.07,9.2
148,Female,32,77,74,77,568-90-5112,C,Naypyitaw,Normal,Health and beauty,66.14,4,13.228,277.788,3/19/2019,12:46,Credit card,264.56,4.761904762,13.228,5.6
149,Female,34,78,22,78,262-47-2794,B,Mandalay,Member,Home and lifestyle,71.86,8,28.744,603.624,3/6/2019,15:07,Credit card,574.88,4.761904762,28.744,6.2
150,Male,34,78,90,78,238-49-0436,A,Yangon,Normal,Health and beauty,32.46,8,12.984,272.664,3/27/2019,13:48,Credit card,259.68,4.761904762,12.984,4.9
151,Male,43,78,17,78,608-96-3517,B,Mandalay,Member,Fashion accessories,91.54,4,18.308,384.468,3/23/2019,19:20,Credit card,366.16,4.761904762,18.308,4.8
152,Male,39,78,88,78,584-86-7256,C,Naypyitaw,Member,Sports and travel,34.56,7,12.096,254.016,3/11/2019,16:07,Credit card,241.92,4.761904762,12.096,7.3
153,Female,44,78,20,78,746-94-0204,A,Yangon,Normal,Fashion accessories,83.24,9,37.458,786.618,1/29/2019,11:56,Credit card,749.16,4.761904762,37.458,7.4
154,Female,38,78,76,78,214-17-6927,C,Naypyitaw,Normal,Food and beverages,16.48,6,4.944,103.824,2/7/2019,18:23,Ewallet,98.88,4.761904762,4.944,9.9
155,Female,47,78,16,78,400-89-4171,C,Naypyitaw,Normal,Sports and travel,80.97,8,32.388,680.148,1/28/2019,13:05,Cash,647.76,4.761904762,32.388,9.3
156,Female,27,78,89,78,782-95-9291,A,Yangon,Member,Food and beverages,92.29,5,23.0725,484.5225,2/20/2019,15:55,Credit card,461.45,4.761904762,23.0725,9
